,DateTime,Count,Holiday,Temp,Hum,Month,Year,Day,DayofWeek,2,3,4,5,6,7,8,9,10,11,12,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,2011-01-01,985,0,0.34416666666666673,0.8058333333333335,1,2011,1,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2011-01-02,801,0,0.36347826086956525,0.6960869565217392,1,2011,2,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2011-01-03,1349,0,0.19636363636363632,0.43727272727272726,1,2011,3,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2011-01-04,1562,0,0.19999999999999998,0.5904347826086958,1,2011,4,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2011-01-05,1600,0,0.22695652173913042,0.4369565217391305,1,2011,5,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2011-01-06,1606,0,0.20434782608695654,0.5182608695652174,1,2011,6,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,2011-01-07,1510,0,0.19652173913043483,0.4986956521739131,1,2011,7,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-01-08,959,0,0.16500000000000006,0.5358333333333333,1,2011,8,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2011-01-09,822,0,0.1383333333333334,0.4341666666666668,1,2011,9,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2011-01-10,1321,0,0.1508333333333334,0.4829166666666667,1,2011,10,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,2011-01-11,1263,0,0.16909090909090915,0.6863636363636362,1,2011,11,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,2011-01-12,1162,0,0.17272727272727278,0.5995454545454547,1,2011,12,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2011-01-13,1406,0,0.16500000000000006,0.47041666666666687,1,2011,13,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,2011-01-14,1421,0,0.16086956521739135,0.5378260869565218,1,2011,14,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011-01-15,1248,0,0.2333333333333333,0.49874999999999997,1,2011,15,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,2011-01-16,1204,0,0.2316666666666667,0.4837500000000001,1,2011,16,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,2011-01-17,1000,1,0.1758333333333334,0.5375,1,2011,17,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,2011-01-18,683,0,0.2166666666666667,0.8616666666666667,1,2011,18,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,2011-01-19,1650,0,0.2921739130434783,0.7417391304347823,1,2011,19,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2011-01-20,1927,0,0.26166666666666666,0.5383333333333334,1,2011,20,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,2011-01-21,1543,0,0.17750000000000002,0.45708333333333345,1,2011,21,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2011-01-22,981,0,0.0591304347826087,0.39999999999999997,1,2011,22,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2011-01-23,986,0,0.0965217391304348,0.43652173913043485,1,2011,23,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2011-01-24,1416,0,0.09739130434782611,0.49173913043478273,1,2011,24,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2011-01-25,1985,0,0.22347826086956515,0.6169565217391305,1,2011,25,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2011-01-26,506,0,0.21750000000000005,0.8624999999999998,1,2011,26,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,2011-01-27,431,0,0.19499999999999998,0.6875,1,2011,27,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,2011-01-28,1167,0,0.20347826086956528,0.7930434782608696,1,2011,28,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2011-01-29,1098,0,0.1965217391304348,0.6517391304347825,1,2011,29,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,2011-01-30,1096,0,0.21652173913043476,0.7221739130434782,1,2011,30,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,2011-01-31,1501,0,0.18083333333333337,0.60375,1,2011,31,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2011-02-01,1360,0,0.1921739130434783,0.8295652173913044,2,2011,1,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2011-02-02,1526,0,0.26,0.7754166666666666,2,2011,2,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2011-02-03,1550,0,0.1869565217391305,0.4378260869565219,2,2011,3,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,2011-02-04,1708,0,0.211304347826087,0.5852173913043478,2,2011,4,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2011-02-05,1005,0,0.23333333333333336,0.9291666666666667,2,2011,5,Saturday,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2011-02-06,1623,0,0.28583333333333333,0.5683333333333335,2,2011,6,Sunday,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,2011-02-07,1712,0,0.27166666666666667,0.7383333333333332,2,2011,7,Monday,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,2011-02-08,1530,0,0.2208333333333334,0.5379166666666667,2,2011,8,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,2011-02-09,1605,0,0.1347826086956522,0.4947826086956522,2,2011,9,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2011-02-10,1538,0,0.14434782608695657,0.437391304347826,2,2011,10,Thursday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,2011-02-11,1746,0,0.1890909090909091,0.5063636363636363,2,2011,11,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
